,activities,subject,bodyaccelerationmeanx,bodyaccelerationmeany,bodyaccelerationmeanz,bodyaccelerationstandarddeviationx,bodyaccelerationstandarddeviationy,bodyaccelerationstandarddeviationz,gravityaccelerationmeanx,gravityaccelerationmeany,gravityaccelerationmeanz,gravityaccelerationstandarddeviationx,gravityaccelerationstandarddeviationy,gravityaccelerationstandarddeviationz,bodyaccelerationjerkmeanx,bodyaccelerationjerkmeany,bodyaccelerationjerkmeanz,bodyaccelerationjerkstandarddeviationx,bodyaccelerationjerkstandarddeviationy,bodyaccelerationjerkstandarddeviationz,bodygyromeanx,bodygyromeany,bodygyromeanz,bodygyrostandarddeviationx,bodygyrostandarddeviationy,bodygyrostandarddeviationz,bodygyrojerkmeanx,bodygyrojerkmeany,bodygyrojerkmeanz,bodygyrojerkstandarddeviationx,bodygyrojerkstandarddeviationy,bodygyrojerkstandarddeviationz,bodyaccelerationmagnitudemean,bodyaccelerationmagnitudestandarddeviation,gravityaccelerationmagnitudemean,gravityaccelerationmagnitudestandarddeviation,bodyaccelerationjerkmagnitudemean,bodyaccelerationjerkmagnitudestandarddeviation,bodygyromagnitudemean,bodygyromagnitudestandarddeviation,bodygyrojerkmagnitudemean,bodygyrojerkmagnitudestandarddeviation,bodyaccelerationmeanx,bodyaccelerationmeany,bodyaccelerationmeanz,bodyaccelerationstandarddeviationx,bodyaccelerationstandarddeviationy,bodyaccelerationstandarddeviationz,bodyaccelerationmeanfrequencyx,bodyaccelerationmeanfrequencyy,bodyaccelerationmeanfrequencyz,bodyaccelerationjerkmeanx,bodyaccelerationjerkmeany,bodyaccelerationjerkmeanz,bodyaccelerationjerkstandarddeviationx,bodyaccelerationjerkstandarddeviationy,bodyaccelerationjerkstandarddeviationz,bodyaccelerationjerkmeanfrequencyx,bodyaccelerationjerkmeanfrequencyy,bodyaccelerationjerkmeanfrequencyz,bodygyromeanx,bodygyromeany,bodygyromeanz,bodygyrostandarddeviationx,bodygyrostandarddeviationy,bodygyrostandarddeviationz,bodygyromeanfrequencyx,bodygyromeanfrequencyy,bodygyromeanfrequencyz,bodyaccelerationmagnitudemean,bodyaccelerationmagnitudestandarddeviation,bodyaccelerationmagnitudemeanfrequency,bodybodyaccelerationjerkmagnitudemean,bodybodyaccelerationjerkmagnitudestandarddeviation,bodybodyaccelerationjerkmagnitudemeanfrequency,bodybodygyromagnitudemean,bodybodygyromagnitudestandarddeviation,bodybodygyromagnitudemeanfrequency,bodybodygyrojerkmagnitudemean,bodybodygyrojerkmagnitudestandarddeviation,bodybodygyrojerkmagnitudemeanfrequency,angleofbodyaccelerationmeanandgravity,angleofbodyaccelerationjerkmeanandgravitymean,angleofbodygyromeanandgravitymean,angleofbodygyrojerkmeanandgravitymean,angleofxandgravitymean,angleofyandgravitymean,angleofzandgravitymean
11,NA,5,0.27917796,-0.015483346,-0.105661737,-0.507691011,-0.402724906,-0.64644364,0.698153719,0.11231311,0.09216072,-0.964629109,-0.939973778,-0.942078679,0.08410199,0.001765683,-0.002953711,-0.575890536,-0.506544359,-0.784561995,-0.029451687,-0.077431645,0.086626712,-0.709955677,-0.705638307,-0.606589817,-0.103522877,-0.049062452,-0.050625816,-0.66258131,-0.77411427,-0.564680771,-0.460866416,-0.521623452,-0.460866416,-0.521623452,-0.58931387,-0.589031268,-0.602770285,-0.664078384,-0.707383518,-0.734187493,-0.551237705,-0.440232432,-0.696171811,-0.492829886,-0.422162171,-0.649351211,-0.22637069,0.074863686,0.006266318,-0.604769869,-0.55099197,-0.768762358,-0.584013627,-0.491500434,-0.798835564,-0.102920845,-0.274290922,-0.163706246,-0.632239301,-0.717062188,-0.537329127,-0.735738577,-0.702290391,-0.669353687,-0.038164699,-0.072066601,0.074402899,-0.528503023,-0.59425953,0.078145559,-0.573176177,-0.613485124,0.131619299,-0.677355756,-0.715731148,0.062219114,-0.74882931,-0.735610602,0.030756456,-0.009112138,-0.015216612,-0.009531302,-0.023395255,-0.598120787,-0.037872791,-0.044081873
12,NA,6,0.272376614,-0.017569704,-0.115994541,-0.505086085,-0.36840367,-0.672512005,0.688702064,0.016205546,0.047519999,-0.958898709,-0.950934886,-0.937910224,0.08138336,0.000479281,-0.002258963,-0.53146831,-0.454437497,-0.738955208,-0.043361179,-0.07061291,0.097313029,-0.65380066,-0.626252073,-0.599910233,-0.082915997,-0.045492101,-0.053361032,-0.546009968,-0.677635981,-0.526908306,-0.464770007,-0.483790606,-0.464770007,-0.483790606,-0.551413652,-0.502935062,-0.549494852,-0.579837818,-0.621936159,-0.644474485,-0.506174926,-0.39204141,-0.683725945,-0.506680277,-0.396677794,-0.694365207,-0.191537067,0.059011488,0.113046089,-0.549394274,-0.503558974,-0.720867158,-0.555346159,-0.437837459,-0.755751144,-0.095614026,-0.305422668,-0.100682391,-0.537201442,-0.621188725,-0.507604208,-0.69286244,-0.63323623,-0.673020315,0.028908719,-0.042790021,0.101044784,-0.473974924,-0.57091029,0.102346682,-0.494882316,-0.516711262,0.083116545,-0.579130051,-0.657368674,0.104193398,-0.651886909,-0.660175875,0.081817623,-0.013833047,-0.003481667,0.092327419,-0.062347388,-0.528657883,0.019733544,-0.012552402
13,NA,7,0.270211698,-0.018790489,-0.112492375,-0.577518325,-0.546403365,-0.456473642,0.681289121,-0.042022145,0.034216071,-0.956538179,-0.955312554,-0.923304724,0.083182957,0.007609098,-0.007917257,-0.615131377,-0.622997416,-0.664336861,-0.051871693,-0.064607711,0.097767172,-0.687155474,-0.652408658,-0.66334076,-0.094203738,-0.041440141,-0.061030793,-0.7017312,-0.674920115,-0.750808706,-0.511312037,-0.510669879,-0.511312037,-0.510669879,-0.622815768,-0.550560231,-0.581899898,-0.598670796,-0.713191348,-0.658017845,-0.593011289,-0.563547785,-0.531005941,-0.572347541,-0.567046977,-0.460792123,-0.311790512,-0.03007133,0.014662085,-0.63752194,-0.641687334,-0.642515717,-0.626785745,-0.628531631,-0.684856439,-0.1197843,-0.239501714,-0.220260861,-0.643767578,-0.630419275,-0.655083355,-0.703883647,-0.671161923,-0.698949519,-0.134491773,-0.103884515,-0.086341238,-0.518323879,-0.583819796,-0.010687375,-0.55336001,-0.550683255,0.108695731,-0.628877273,-0.650923648,-0.035227633,-0.668879188,-0.668963362,0.063192044,0.002690128,-0.010142733,0.042195728,-0.023012418,-0.525683267,0.108786539,-0.033426188
14,NA,8,0.270759063,-0.018189497,-0.106809624,-0.582958863,-0.349383732,-0.499472688,0.647498175,0.030321111,0.083654241,-0.954256666,-0.94844645,-0.923180664,0.084215745,0.000860302,-0.019671991,-0.575993074,-0.458724925,-0.668356785,0.003590539,-0.09107751,0.064086761,-0.656219242,-0.570941237,-0.511392038,-0.104969855,-0.040092224,-0.058288715,-0.674984452,-0.68308693,-0.695970302,-0.468522593,-0.554038979,-0.468522593,-0.554038979,-0.534248617,-0.564472,-0.476214944,-0.581422885,-0.673625526,-0.715838386,-0.581831415,-0.374944236,-0.550979389,-0.585343461,-0.378656459,-0.513206313,-0.216022262,0.026329752,0.091395198,-0.591635009,-0.495906216,-0.644285802,-0.598546245,-0.456368396,-0.691480917,0.021233677,-0.169061574,-0.08260861,-0.601382421,-0.575938483,-0.525562919,-0.675275353,-0.573087292,-0.553968588,-0.117102794,-0.153879696,-0.043025881,-0.512106793,-0.651638076,0.14654144,-0.529244911,-0.618027415,0.27152887,-0.609984289,-0.636673891,-0.023224153,-0.702156215,-0.7557173,0.223748693,0.02410153,-0.044776052,-0.045656296,-0.014249246,-0.464037619,0.046956152,-0.059643777
15,NA,9,0.270313842,-0.020946656,-0.101233826,-0.555656545,-0.575887895,-0.506111776,0.670845546,-0.0467447,0.104353653,-0.958784666,-0.949938115,-0.920554318,0.084017143,0.006784858,-0.001029981,-0.578305161,-0.678923872,-0.721610095,-0.070131815,-0.072988431,0.109092913,-0.676452393,-0.670498221,-0.587557692,-0.089225493,-0.039734442,-0.053402884,-0.761710867,-0.773273879,-0.744656038,-0.505183471,-0.553038255,-0.505183471,-0.553038255,-0.621608245,-0.608862145,-0.550201867,-0.663198385,-0.762979581,-0.786176892,-0.579258404,-0.610267804,-0.592119123,-0.547995745,-0.586766083,-0.501074007,-0.29134923,-0.08790033,-0.030433423,-0.621377141,-0.699766615,-0.702931928,-0.572819894,-0.679065855,-0.739139923,-0.219176266,-0.296107744,-0.290292303,-0.63986322,-0.683924288,-0.612680463,-0.690689896,-0.667203221,-0.619468634,-0.205909255,-0.24088044,-0.196153281,-0.553186448,-0.624456827,-0.003582691,-0.609193722,-0.611619343,0.09835983,-0.700863098,-0.697729433,-0.108828635,-0.786473954,-0.801296293,0.092776374,0.006596057,-0.010427915,0.086784329,-0.023102874,-0.558092529,0.116895184,-0.089849262
16,NA,10,0.276848474,-0.017835791,-0.111301532,-0.537807711,-0.497405886,-0.614776952,0.64290573,-0.074024854,0.055204723,-0.965808126,-0.954524073,-0.938706428,0.079810861,0.012914326,-0.011355697,-0.529383214,-0.540236619,-0.750729261,-0.01850237,-0.084640367,0.091026501,-0.673905582,-0.591333155,-0.598142329,-0.10815083,-0.042421998,-0.055552128,-0.7032435,-0.768641779,-0.686800253,-0.502500207,-0.545348811,-0.502500207,-0.545348811,-0.577761931,-0.52934048,-0.521819802,-0.624408369,-0.734465805,-0.768821829,-0.532289465,-0.494651474,-0.655062273,-0.541170169,-0.532135173,-0.625871772,-0.156150832,0.094812995,0.150687016,-0.54724304,-0.555104554,-0.721689701,-0.553403479,-0.556271725,-0.779168171,-0.031301298,-0.148940676,0.011238506,-0.620379209,-0.648350595,-0.567456662,-0.692654262,-0.565943678,-0.64594772,-0.066315095,-0.088151591,-0.050074354,-0.518734047,-0.633196111,0.173253569,-0.515140811,-0.55302736,0.163072698,-0.661496553,-0.666014613,0.012085594,-0.767780095,-0.787144257,0.153580254,0.002833301,-0.003623733,-0.01922036,0.052032164,-0.502995312,0.140515435,-0.00499449
17,NA,11,0.276585311,-0.019127253,-0.108941762,-0.589476498,-0.490379347,-0.665324314,0.730526185,0.052738703,0.140209861,-0.975394458,-0.957138771,-0.956812,0.083013454,0.007804425,-0.00657425,-0.659323083,-0.608784227,-0.842511816,-0.054732844,-0.058227577,0.08728411,-0.739922127,-0.703501766,-0.725016009,-0.080547331,-0.049391407,-0.048014017,-0.781738141,-0.868377254,-0.795490882,-0.542825033,-0.612882271,-0.542825033,-0.612882271,-0.679819505,-0.66424176,-0.628367851,-0.696771379,-0.826829028,-0.866905013,-0.619524028,-0.531455266,-0.750026146,-0.579491755,-0.50257024,-0.652095671,-0.224360421,0.031855146,0.050278301,-0.676672987,-0.632374689,-0.82555959,-0.672195644,-0.609444998,-0.858259631,-0.087425493,-0.242572597,-0.099229632,-0.709949332,-0.776852869,-0.708842979,-0.751758277,-0.670892713,-0.755960628,-0.111874925,-0.181778028,-0.081095167,-0.611528074,-0.674470159,0.12725035,-0.656133473,-0.676925076,0.158363552,-0.75758594,-0.71126722,-0.109781793,-0.864827011,-0.879254017,0.117892113,8.84E-05,-0.018897216,0.050633969,-0.035085728,-0.536003019,0.001652395,-0.076906668
18,NA,12,0.273608724,-0.018337204,-0.106649117,-0.583962207,-0.522040023,-0.699293531,0.699222451,0.029976776,0.033029554,-0.967383434,-0.960572908,-0.946808564,0.070430311,0.005311538,0.000308112,-0.582418268,-0.571359817,-0.792621936,-0.062866347,-0.059202733,0.096074215,-0.727881705,-0.735062826,-0.671057679,-0.073113438,-0.043678823,-0.057458504,-0.709726149,-0.811232599,-0.74935186,-0.559586546,-0.574386494,-0.559586546,-0.574386494,-0.630050492,-0.566365684,-0.631668059,-0.684858057,-0.777294478,-0.786386533,-0.578920211,-0.523287079,-0.726640315,-0.586922578,-0.553076639,-0.709983235,-0.183738216,0.044459842,0.068910987,-0.599109318,-0.591296423,-0.775426583,-0.602960063,-0.579168054,-0.808583,-0.046619864,-0.20469417,-0.09756402,-0.661246826,-0.744798148,-0.657369915,-0.750393858,-0.733456732,-0.708233154,-0.08434983,-0.107309872,-0.064849392,-0.559283677,-0.650533282,0.075592658,-0.564239194,-0.571614888,0.126323612,-0.717311677,-0.719438066,-0.045535717,-0.789902851,-0.797361458,0.070587361,0.016708941,0.016330804,0.118881574,-0.064494922,-0.558571075,0.028457594,-0.009781787
19,NA,13,0.275895876,-0.01765048,-0.109135286,-0.62484446,-0.448816098,-0.587230562,0.709996517,-0.04208581,0.044301054,-0.967268063,-0.953540717,-0.93872788,0.079439303,0.00387962,-0.012348592,-0.638889533,-0.569700547,-0.728452966,-0.056247062,-0.061661379,0.09886606,-0.71510986,-0.645728612,-0.643337285,-0.088118238,-0.044083661,-0.058271875,-0.71577298,-0.718988592,-0.712716428,-0.539871637,-0.597230982,-0.539871637,-0.597230982,-0.625466939,-0.61024854,-0.581215403,-0.63636494,-0.712745036,-0.712056187,-0.638817913,-0.493467193,-0.629736259,-0.620602036,-0.462584459,-0.599036895,-0.222056647,-0.034831146,0.048726027,-0.660082174,-0.60334049,-0.71083173,-0.649606227,-0.562129867,-0.74482354,-0.024196182,-0.238328547,-0.120605488,-0.658642421,-0.647152818,-0.620471227,-0.734657989,-0.650623559,-0.685774482,-0.112645469,-0.080613019,-0.00505037,-0.589928109,-0.665344859,0.084947568,-0.607295296,-0.617075473,0.18286125,-0.652225307,-0.691915161,0.062589181,-0.712054367,-0.733183568,0.157417463,-0.00463757,0.012222652,0.093952727,-0.027673558,-0.500095473,0.09168204,-0.024323382
20,NA,14,0.270184596,-0.016254818,-0.100985936,-0.611671118,-0.374730765,-0.293542715,0.672081225,-0.111701389,-0.161179728,-0.941245715,-0.942377305,-0.915927846,0.074175747,0.004436827,-0.002530447,-0.641964199,-0.586459623,-0.656855586,0.000253671,-0.095492115,0.060671245,-0.728661379,-0.398959363,-0.364478193,-0.107556127,-0.043320049,-0.045069384,-0.786291733,-0.697915531,-0.638299065,-0.45326262,-0.474058613,-0.45326262,-0.474058613,-0.60897342,-0.60514427,-0.416459777,-0.471486715,-0.70052094,-0.727023009,-0.619513272,-0.455237617,-0.440650672,-0.609406374,-0.376829989,-0.275013722,-0.319171142,-0.153083508,-0.107844299,-0.654385009,-0.598699531,-0.618712162,-0.661460357,-0.602158944,-0.694424996,-0.148657337,-0.305355379,-0.23920068,-0.699166401,-0.50463317,-0.423918214,-0.74005221,-0.348864187,-0.407672097,-0.241341061,-0.345434763,-0.212818475,-0.49087418,-0.548269931,-0.060068127,-0.596896309,-0.619215145,0.137239545,-0.543030529,-0.516930496,-0.138544755,-0.717590102,-0.760560088,0.090757952,0.032230042,0.022401679,-0.052574602,0.027835193,-0.418868287,0.15711529,0.121501629
21,NA,15,0.278213407,-0.016464485,-0.112563588,-0.556541173,-0.481679538,-0.705706624,0.688872512,0.102660492,0.03728977,-0.968733399,-0.956369494,-0.947240058,0.077689741,0.004893921,-0.004409932,-0.624055782,-0.594312678,-0.825820882,-0.028127878,-0.075878846,0.090665852,-0.696859473,-0.708779069,-0.721826988,-0.096091011,-0.044127069,-0.055564546,-0.731382711,-0.853956592,-0.795626198,-0.527285352,-0.557147874,-0.527285352,-0.557147874,-0.654799695,-0.625660377,-0.61772178,-0.67533696,-0.80528267,-0.837120078,-0.583772317,-0.507735206,-0.741745725,-0.547150855,-0.501568435,-0.71143134,-0.21863712,0.050508538,0.04245196,-0.643469519,-0.609408057,-0.805543466,-0.637655155,-0.605854883,-0.845111061,-0.049027357,-0.19740873,-0.073783447,-0.664354429,-0.760711411,-0.71119454,-0.709336168,-0.684504736,-0.751696527,-0.143256674,-0.222137469,-0.057976058,-0.562948391,-0.623655618,0.061427919,-0.614817605,-0.643101167,0.158404218,-0.732394494,-0.69534684,-0.149680865,-0.836801894,-0.849634464,0.095556423,0.013418845,-0.012387246,0.000727812,0.006675192,-0.522572018,-0.028346581,-0.003969043
22,NA,16,0.27788744,-0.015856789,-0.107263924,-0.668161498,-0.649947068,-0.603819902,0.70090613,-0.060523599,0.040207554,-0.971156432,-0.96472752,-0.945294029,0.077548889,0.008840183,-0.0014373,-0.727861744,-0.735080198,-0.767873049,-0.012234145,-0.07244448,0.073014465,-0.79953445,-0.810124134,-0.737629968,-0.107361615,-0.041661567,-0.053947041,-0.858298719,-0.869573121,-0.837039926,-0.616131117,-0.66171969,-0.616131117,-0.66171969,-0.72524687,-0.719647028,-0.718168776,-0.784822866,-0.860446372,-0.874800166,-0.700885147,-0.671572147,-0.660989948,-0.656969045,-0.661844531,-0.605646725,-0.23857046,-0.027643472,0.027823464,-0.744662042,-0.748627002,-0.752302172,-0.734776737,-0.738434398,-0.782089515,-0.031888911,-0.194511969,-0.170592442,-0.789780147,-0.81596213,-0.756286642,-0.804991832,-0.809421448,-0.756993641,-0.137899091,-0.158018409,-0.053894629,-0.666962508,-0.712680991,0.055866821,-0.713167614,-0.729869399,0.221683632,-0.817128819,-0.802078223,-0.050122134,-0.872772283,-0.886533212,0.15321124,-0.000582754,0.020561871,-0.026330102,0.035106663,-0.514965037,0.125280843,-0.034452119
23,NA,17,0.274029548,-0.017541605,-0.109199853,-0.608455244,-0.567005319,-0.660582756,0.698937411,-0.013734698,-0.017704243,-0.971771653,-0.958810046,-0.949039214,0.081406057,0.008489497,0.00270288,-0.682603096,-0.668693821,-0.813339561,-0.014668618,-0.082710926,0.077025064,-0.75901112,-0.764867041,-0.720741039,-0.107854171,-0.039171945,-0.050849651,-0.788387982,-0.825988663,-0.808251303,-0.568367244,-0.636074478,-0.568367244,-0.636074478,-0.696465197,-0.693946395,-0.676185123,-0.750145261,-0.810438233,-0.82525597,-0.651780424,-0.601741376,-0.718947425,-0.593510173,-0.576930056,-0.656622932,-0.226292383,0.005299929,0.007556358,-0.716681623,-0.694754838,-0.802528786,-0.676544941,-0.663158393,-0.822801748,-0.079905976,-0.161634763,-0.162384818,-0.728710411,-0.774745259,-0.726857841,-0.770057226,-0.761335244,-0.745101478,-0.081102758,-0.106778298,-0.032266458,-0.646189155,-0.687536943,0.035532441,-0.697575559,-0.692595779,0.216394128,-0.769498551,-0.782232495,0.004883371,-0.829124468,-0.833701023,0.232792536,0.013553723,-0.002771278,0.015169628,0.011145917,-0.495305446,0.08215807,0.02132292
24,NA,18,0.276324152,-0.017283155,-0.108112251,-0.694616885,-0.627117507,-0.70159604,0.716863248,-0.015781996,0.089990175,-0.980138676,-0.96954203,-0.959434178,0.077480922,0.012885045,0.000848545,-0.73464445,-0.732969175,-0.847257766,-0.03739938,-0.06782001,0.090840287,-0.804533729,-0.777361714,-0.745612483,-0.094402958,-0.044169187,-0.056848257,-0.842893478,-0.884050473,-0.838614663,-0.658370952,-0.68967189,-0.658370952,-0.68967189,-0.753904677,-0.745212813,-0.714735669,-0.775779059,-0.859899942,-0.888565337,-0.714227765,-0.663659667,-0.761229192,-0.687850549,-0.632838238,-0.694874091,-0.21028806,0.014201794,0.002379457,-0.750020077,-0.744113445,-0.833032083,-0.742517894,-0.739197835,-0.860168955,-0.069138792,-0.211800164,-0.123235904,-0.787757638,-0.81638588,-0.755926771,-0.812175241,-0.759665554,-0.766381665,-0.113596306,-0.245477245,-0.089092788,-0.697732862,-0.733904051,0.091107172,-0.742323822,-0.750189976,0.224596546,-0.816286627,-0.789777675,-0.057369668,-0.884663023,-0.902206781,0.193231487,0.009953356,0.016954831,0.01714168,-0.041462609,-0.521265324,0.076007636,-0.052170422
25,NA,19,0.269723487,-0.018203152,-0.11827718,-0.574658923,-0.507035085,-0.649184727,0.475323016,0.096405263,0.233011401,-0.958290448,-0.959253834,-0.941800285,0.077417115,0.011581242,-0.001861989,-0.571088266,-0.57131119,-0.705342976,-0.038572395,-0.06814206,0.088360959,-0.637789915,-0.643866301,-0.645682212,-0.089593943,-0.038320874,-0.056964944,-0.618836207,-0.725991381,-0.686684584,-0.531507362,-0.599552767,-0.531507362,-0.599552767,-0.576225247,-0.601918553,-0.548919668,-0.610093381,-0.683436542,-0.725598699,-0.587050355,-0.521888077,-0.647026298,-0.570897975,-0.530901585,-0.680291383,-0.212433283,0.070387363,0.160383894,-0.593157169,-0.596694944,-0.680924493,-0.586910129,-0.572596723,-0.728521901,0.00263883,-0.160787596,0.002255799,-0.553089576,-0.6413373,-0.602625308,-0.666071316,-0.650105402,-0.694729075,-0.032184261,-0.196297607,-0.041501377,-0.556404445,-0.68986092,0.115775171,-0.576064648,-0.641089006,0.232074775,-0.636288,-0.662325968,-0.019933625,-0.719519009,-0.754223739,0.128629739,0.002538244,0.003712235,0.031554472,0.001033974,-0.297667818,0.001516123,-0.15636305
26,NA,20,0.268425758,-0.017591299,-0.108029146,-0.604846695,-0.369336707,-0.634787347,0.628040637,-0.037305948,0.107230759,-0.958201863,-0.952506793,-0.940981538,0.079818125,0.002209287,-0.004506119,-0.627098831,-0.527174602,-0.747362573,-0.024248881,-0.078944842,0.085628063,-0.684586332,-0.573677383,-0.52727797,-0.094982179,-0.041435612,-0.054300128,-0.698354146,-0.684280686,-0.636715879,-0.517257429,-0.57232582,-0.517257429,-0.57232582,-0.619698757,-0.588644307,-0.516861236,-0.580023613,-0.684048497,-0.683503745,-0.612641114,-0.426398722,-0.665006946,-0.603148949,-0.381534029,-0.647515612,-0.228177937,-0.011441145,0.077961545,-0.652264227,-0.557791286,-0.732835649,-0.634710081,-0.52590761,-0.760509115,-0.094656525,-0.295851376,-0.173772101,-0.626445371,-0.591039733,-0.518444509,-0.704481841,-0.567588606,-0.575002191,-0.152974669,-0.197281081,-0.138316973,-0.560278889,-0.648306199,0.060492621,-0.584571447,-0.597351047,0.08722347,-0.606970915,-0.635816315,-0.067671291,-0.692638076,-0.694680032,0.050429144,0.001926328,0.011064059,-0.006110607,-0.0174197,-0.429101556,0.083665443,-0.057008113
27,NA,21,0.277466526,-0.017666458,-0.108778481,-0.672323867,-0.56558519,-0.669621813,0.645775958,-0.075096307,0.032185177,-0.965586634,-0.969330818,-0.953093993,0.082220787,0.003501076,-0.010659073,-0.699763344,-0.665159123,-0.781823901,-0.027634664,-0.078471974,0.086121267,-0.796172287,-0.765057761,-0.701642028,-0.100558318,-0.040823614,-0.053386105,-0.792483157,-0.815859336,-0.812017312,-0.62030926,-0.660196015,-0.62030926,-0.660196015,-0.703461276,-0.680069219,-0.693779225,-0.76130312,-0.807817403,-0.8240899,-0.693486097,-0.593778214,-0.707713799,-0.665349663,-0.578748587,-0.675588193,-0.230976168,0.04127614,0.049552045,-0.716414131,-0.678615119,-0.767351987,-0.709800728,-0.674102361,-0.794922814,0.016869757,-0.161814486,-0.112817223,-0.752040829,-0.759325715,-0.70947142,-0.81102671,-0.771388319,-0.728319305,-0.089010658,-0.186457966,-0.022885187,-0.65866472,-0.714345739,0.084651261,-0.679742585,-0.683725127,0.244321862,-0.77647306,-0.793158526,-0.005719226,-0.826275026,-0.834949863,0.205643656,0.012074901,-0.014650211,0.014012266,0.022088894,-0.413916194,0.128426548,-0.019176133
28,NA,22,0.27476769,-0.01682736,-0.108670377,-0.546089976,-0.491188426,-0.655089679,0.609390875,0.031509868,0.235887864,-0.958504464,-0.957323093,-0.939081026,0.079103113,0.015257247,-0.007228733,-0.584963757,-0.560470117,-0.760468444,-0.008006306,-0.094966112,0.081240658,-0.695919203,-0.784052281,-0.654458016,-0.109257562,-0.038461622,-0.058214429,-0.70889871,-0.85992442,-0.742272775,-0.504099198,-0.595953854,-0.504099198,-0.595953854,-0.60977283,-0.58982314,-0.637666108,-0.676378562,-0.794681311,-0.826493448,-0.594929652,-0.508172778,-0.687320961,-0.528958813,-0.515580973,-0.665517,-0.181031984,0.037199233,0.080629567,-0.604253202,-0.574318114,-0.739701808,-0.602457991,-0.576391814,-0.780252703,0.066552144,-0.178425081,-0.046769179,-0.639575654,-0.791399746,-0.64336334,-0.714977903,-0.78204608,-0.690679449,-0.164138008,-0.200741315,-0.051630249,-0.574333165,-0.673896213,0.10327715,-0.585442502,-0.599286879,0.161936363,-0.72816677,-0.699600086,-0.13161544,-0.830191957,-0.835597218,0.119560564,0.005919758,0.004057978,-0.008895441,0.022200796,-0.42806052,0.051120679,-0.163514653
29,NA,23,0.273493255,-0.019589259,-0.109093982,-0.62259404,-0.532078547,-0.450557203,0.662324738,0.01462092,0.051866247,-0.96439304,-0.960318907,-0.934236147,0.077858822,0.020047096,-0.000717681,-0.608183752,-0.618981231,-0.60304877,-0.022089042,-0.082597296,0.074694942,-0.755738625,-0.500338191,-0.609683452,-0.096699074,-0.043272274,-0.062195909,-0.728692138,-0.546043594,-0.740518146,-0.532754757,-0.565575626,-0.532754757,-0.565575626,-0.586400672,-0.558725314,-0.544207964,-0.541949074,-0.623412642,-0.573942888,-0.599080886,-0.548483209,-0.490212816,-0.633839114,-0.55447168,-0.474767544,-0.208724421,0.029787725,0.089984379,-0.617521837,-0.628231338,-0.57887081,-0.635054351,-0.63697761,-0.627540368,0.017358064,-0.12467018,-0.112528879,-0.685136502,-0.497783811,-0.617685417,-0.779197054,-0.507850547,-0.644131037,-0.02516928,-0.05927247,-0.02294249,-0.529029284,-0.657048918,0.115335185,-0.542663319,-0.583832309,0.202553279,-0.534657192,-0.632288527,0.154723198,-0.58411105,-0.593735302,0.169185025,0.004992521,-0.011236023,0.012164914,-0.017809643,-0.503722188,0.070991059,-0.044001829
30,NA,24,0.276767046,-0.017682246,-0.107914504,-0.675459176,-0.582490655,-0.636497459,0.694981268,0.07295097,0.062322771,-0.9753297,-0.960898167,-0.955724566,0.0784735,0.003969003,-0.007009606,-0.740300545,-0.685979796,-0.736374233,-0.02125781,-0.07824402,0.084174038,-0.77619905,-0.763365457,-0.708251676,-0.099829425,-0.039074942,-0.055298768,-0.764490031,-0.792718702,-0.796816517,-0.620032665,-0.650862148,-0.620032665,-0.650862148,-0.713667424,-0.689391189,-0.682447213,-0.742983127,-0.791646551,-0.788997851,-0.70761378,-0.611509043,-0.655858995,-0.664356692,-0.59467679,-0.655360521,-0.263352299,-0.017607924,0.08125808,-0.752245372,-0.703641615,-0.719655747,-0.751378154,-0.688280462,-0.751628688,-0.057042348,-0.231131633,-0.139771192,-0.722607378,-0.75371048,-0.709488577,-0.794063529,-0.771969809,-0.735749934,-0.050107859,-0.097534761,-0.055640739,-0.650121872,-0.705928426,0.023630057,-0.696845583,-0.682447146,0.198422013,-0.754131617,-0.782076276,0.019448601,-0.795019165,-0.796157265,0.161739609,-0.002317234,-0.012478421,-0.013982736,-0.003003468,-0.545993624,0.019866843,-0.031230921
31,NA,25,0.275301468,-0.019322177,-0.109629031,-0.716264538,-0.531421036,-0.647095561,0.672386622,0.047160143,0.239226041,-0.950017091,-0.901088771,-0.880682331,0.081765744,0.006386339,-0.010346171,-0.79682335,-0.722502919,-0.860669383,-0.002981512,-0.083900354,0.099360608,-0.683131971,-0.752261013,-0.74741022,-0.108263885,-0.038988475,-0.055578222,-0.768682473,-0.902628081,-0.831848667,-0.58337775,-0.659015506,-0.58337775,-0.659015506,-0.783445354,-0.780451868,-0.625733064,-0.685152795,-0.849630706,-0.872776184,-0.74841651,-0.600027697,-0.738509948,-0.705223687,-0.529064652,-0.630224638,-0.306657191,-0.108650116,-0.07445021,-0.804144643,-0.740570312,-0.849504849,-0.807712526,-0.721707669,-0.870541516,-0.11079301,-0.347751351,-0.235707422,-0.672197764,-0.813133792,-0.746832214,-0.690398482,-0.723584438,-0.771208929,-0.207601176,-0.349146932,-0.13513974,-0.69501971,-0.695367929,-0.042642361,-0.779190076,-0.78354723,0.168222731,-0.75423611,-0.69721312,-0.22082033,-0.875970675,-0.877714954,0.047148287,-0.001221672,0.047037,-0.02668953,0.022385566,-0.512418782,0.030738843,-0.159471155
